node	worker	slot
0	0	0
1	1	0
2	2	0
3	16	0
4	17	0
5	18	0
6	19	0
7	20	0
8	21	0
9	22	0
10	23	0
11	24	0
12	25	0
13	26	0
14	27	0
15	28	0
16	29	0
17	30	0
18	31	0
19	32	0
20	33	0
21	34	0
22	35	0
23	36	0
24	37	0
25	38	0
26	39	0
27	40	0
28	41	0
29	42	0
30	43	0
31	44	0
32	45	0
33	46	0
34	47	0
35	0	1
36	1	1
37	2	1
38	3	0
39	4	0
40	5	0
41	6	0
42	7	0
43	8	0
44	9	0
45	10	0
46	11	0
47	12	0
48	13	0
49	14	0
50	15	0
51	48	0
52	49	0
53	50	0
54	51	0
55	52	0
56	53	0
57	54	0
58	55	0
59	56	0
60	57	0
61	58	0
62	59	0
63	60	0
64	61	0
65	62	0
66	63	0
67	20	1
68	21	1
69	22	1
70	23	1
71	16	1
72	17	1
73	18	1
74	19	1
75	6	1
76	7	1
77	8	1
78	9	1
79	0	2
80	1	2
81	2	2
82	3	1
83	4	1
84	5	1
85	0	3
86	1	3
87	2	3
88	3	2
89	4	2
90	5	2
91	10	1
92	11	1
93	12	1
94	13	1
95	14	1
96	15	1
97	8	2
98	9	2
99	10	2
100	11	2
101	4	3
102	5	3
103	6	2
104	7	2
105	0	4
106	1	4
107	2	4
108	3	3
109	0	5
110	1	5
111	2	5
112	3	4
113	4	4
114	5	4
115	6	3
116	7	3
117	8	3
118	9	3
119	10	3
120	11	3
121	12	2
122	13	2
123	14	2
124	15	2
125	16	2
126	17	2
127	18	2
128	19	2
129	20	2
130	21	2
131	22	2
132	23	2
133	24	1
134	25	1
135	26	1
136	27	1
137	28	1
138	29	1
139	30	1
140	31	1
141	0	6
142	1	6
143	2	6
144	0	7
145	1	7
146	2	7
147	3	5
148	4	5
149	5	5
150	6	4
151	7	4
152	8	4
153	9	4
154	10	4
155	11	4
156	12	3
157	13	3
158	14	3
159	15	3
160	16	3
161	17	3
162	18	3
163	19	3
164	20	3
165	21	3
166	22	3
167	23	3
168	24	2
169	25	2
170	26	2
171	27	2
172	28	2
173	29	2
174	30	2
175	31	2
176	32	1
177	33	1
178	34	1
179	35	1
180	36	1
181	37	1
182	38	1
183	39	1
184	40	1
185	41	1
186	42	1
187	43	1
188	44	1
189	45	1
190	46	1
191	47	1
192	48	1
193	49	1
194	50	1
195	51	1
196	52	1
197	53	1
198	54	1
199	55	1
200	56	1
201	57	1
202	58	1
203	59	1
204	60	1
205	61	1
206	62	1
207	63	1
208	64	0
209	65	0
210	66	0
211	67	0
212	68	0
213	69	0
214	70	0
215	71	0
216	72	0
217	73	0
218	74	0
219	75	0
220	76	0
221	77	0
222	78	0
223	79	0
224	80	0
225	81	0
226	82	0
227	83	0
228	84	0
229	85	0
230	86	0
231	87	0
232	88	0
233	89	0
234	90	0
235	91	0
236	92	0
237	93	0
238	94	0
239	95	0
240	96	0
241	97	0
242	98	0
243	99	0
244	100	0
245	101	0
246	102	0
247	103	0
248	104	0
249	105	0
250	106	0
251	107	0
252	108	0
253	109	0
254	110	0
255	111	0
256	112	0
257	113	0
258	114	0
259	115	0
260	116	0
261	117	0
262	118	0
263	119	0
264	120	0
265	121	0
266	122	0
267	123	0
268	124	0
269	125	0
270	126	0
271	127	0
272	0	8
273	1	8
274	2	8
275	0	9
276	1	9
277	2	9
278	3	6
279	4	6
280	5	6
281	6	5
282	7	5
283	8	5
284	9	5
285	10	5
286	11	5
287	12	4
288	13	4
289	14	4
290	15	4
291	16	4
292	17	4
293	18	4
294	19	4
295	20	4
296	21	4
297	22	4
298	23	4
299	24	3
300	25	3
301	26	3
302	27	3
303	28	3
304	29	3
305	30	3
306	31	3
307	0	10
308	1	10
309	2	10
310	16	5
311	17	5
312	18	5
313	19	5
314	20	5
315	21	5
316	22	5
317	23	5
318	24	4
319	25	4
320	26	4
321	27	4
322	28	4
323	29	4
324	30	4
325	31	4
326	32	2
327	33	2
328	34	2
329	35	2
330	36	2
331	37	2
332	38	2
333	39	2
334	40	2
335	41	2
336	42	2
337	43	2
338	44	2
339	45	2
340	46	2
341	47	2
342	0	11
343	1	11
344	2	11
345	3	7
346	4	7
347	5	7
348	6	6
349	7	6
350	8	6
351	9	6
352	10	6
353	11	6
354	12	5
355	13	5
356	14	5
357	15	5
358	48	2
359	49	2
360	50	2
361	51	2
362	52	2
363	53	2
364	54	2
365	55	2
366	56	2
367	57	2
368	58	2
369	59	2
370	60	2
371	61	2
372	62	2
373	63	2
374	20	6
375	21	6
376	22	6
377	23	6
378	16	6
379	17	6
380	18	6
381	19	6
382	6	7
383	7	7
384	8	7
385	9	7
386	0	12
387	1	12
388	2	12
389	3	8
390	4	8
391	5	8
392	0	13
393	1	13
394	2	13
395	3	9
396	4	9
397	5	9
398	10	7
399	11	7
400	12	6
401	13	6
402	14	6
403	15	6
404	8	8
405	9	8
406	10	8
407	11	8
408	4	10
409	5	10
410	6	8
411	7	8
412	0	14
413	1	14
414	2	14
415	3	10
416	0	15
417	1	15
418	2	15
419	3	11
420	4	11
421	5	11
422	6	9
423	7	9
424	8	9
425	9	9
426	10	9
427	11	9
428	12	7
429	13	7
430	14	7
431	15	7
432	16	7
433	17	7
434	18	7
435	19	7
436	20	7
437	21	7
438	22	7
439	23	7
440	24	5
441	25	5
442	26	5
443	27	5
444	28	5
445	29	5
446	30	5
447	31	5
448	0	16
449	1	16
450	2	16
451	0	17
452	1	17
453	2	17
454	3	12
455	4	12
456	5	12
457	6	10
458	7	10
459	8	10
460	9	10
461	10	10
462	11	10
463	12	8
464	13	8
465	14	8
466	15	8
467	16	8
468	17	8
469	18	8
470	19	8
471	20	8
472	21	8
473	22	8
474	23	8
475	24	6
476	25	6
477	26	6
478	27	6
479	28	6
480	29	6
481	30	6
482	31	6
483	32	3
484	33	3
485	34	3
486	35	3
487	36	3
488	37	3
489	38	3
490	39	3
491	40	3
492	41	3
493	42	3
494	43	3
495	44	3
496	45	3
497	46	3
498	47	3
499	48	3
500	49	3
501	50	3
502	51	3
503	52	3
504	53	3
505	54	3
506	55	3
507	56	3
508	57	3
509	58	3
510	59	3
511	60	3
512	61	3
513	62	3
514	63	3
515	64	1
516	65	1
517	66	1
518	67	1
519	68	1
520	69	1
521	70	1
522	71	1
523	72	1
524	73	1
525	74	1
526	75	1
527	76	1
528	77	1
529	78	1
530	79	1
531	80	1
532	81	1
533	82	1
534	83	1
535	84	1
536	85	1
537	86	1
538	87	1
539	88	1
540	89	1
541	90	1
542	91	1
543	92	1
544	93	1
545	94	1
546	95	1
547	96	1
548	97	1
549	98	1
550	99	1
551	100	1
552	101	1
553	102	1
554	103	1
555	104	1
556	105	1
557	106	1
558	107	1
559	108	1
560	109	1
561	110	1
562	111	1
563	112	1
564	113	1
565	114	1
566	115	1
567	116	1
568	117	1
569	118	1
570	119	1
571	120	1
572	121	1
573	122	1
574	123	1
575	124	1
576	125	1
577	126	1
578	127	1
579	0	18
580	1	18
581	2	18
582	0	19
583	1	19
584	2	19
585	3	13
586	4	13
587	5	13
588	6	11
589	7	11
590	8	11
591	9	11
592	10	11
593	11	11
594	12	9
595	13	9
596	14	9
597	15	9
598	16	9
599	17	9
600	18	9
601	19	9
602	20	9
603	21	9
604	22	9
605	23	9
606	24	7
607	25	7
608	26	7
609	27	7
610	28	7
611	29	7
612	30	7
613	31	7
