wait_index	producer	group
0	2	4294967295
1	4	0
2	6	4294967295
3	7	4294967295
4	8	1
5	8	2
6	8	3
7	9	1
8	9	2
9	9	3
10	9	4
11	9	5
12	9	6
13	9	7
14	9	8
15	9	9
16	9	10
17	9	11
18	9	12
19	9	13
20	9	14
21	9	15
22	9	16
23	9	17
24	9	18
25	9	19
26	9	20
27	9	21
28	9	22
29	9	23
30	9	24
31	9	25
32	9	26
33	9	27
34	9	28
35	9	29
36	9	30
37	9	31
38	11	1
39	11	2
40	11	3
41	11	4
42	11	5
43	11	6
44	11	7
45	11	8
46	11	9
47	11	10
48	11	11
49	11	12
50	11	13
51	11	14
52	11	15
53	11	16
54	11	17
55	11	18
56	11	19
57	11	20
58	11	21
59	11	22
60	11	23
61	11	24
62	11	25
63	11	26
64	11	27
65	11	28
66	11	29
67	11	30
68	11	31
69	11	32
70	11	33
71	11	34
72	11	35
73	11	36
74	11	37
75	11	38
76	11	39
77	11	40
78	11	41
79	11	42
80	11	43
81	11	44
82	11	45
83	11	46
84	11	47
85	11	48
86	11	49
87	11	50
88	11	51
89	11	52
90	11	53
91	11	54
92	11	55
93	11	56
94	11	57
95	11	58
96	11	59
97	11	60
98	11	61
99	11	62
100	11	63
101	12	0
102	12	1
103	12	2
104	12	3
105	12	4
106	12	5
107	12	6
108	12	7
109	12	8
110	12	9
111	12	10
112	12	11
113	12	12
114	12	13
115	12	14
116	12	15
117	12	16
118	12	17
119	12	18
120	12	19
121	12	20
122	12	21
123	12	22
124	12	23
125	12	24
126	12	25
127	12	26
128	12	27
129	12	28
130	12	29
131	12	30
132	12	31
133	12	32
134	12	33
135	12	34
136	12	35
137	12	36
138	12	37
139	12	38
140	12	39
141	12	40
142	12	41
143	12	42
144	12	43
145	12	44
146	12	45
147	12	46
148	12	47
149	12	48
150	12	49
151	12	50
152	12	51
153	12	52
154	12	53
155	12	54
156	12	55
157	12	56
158	12	57
159	12	58
160	12	59
161	12	60
162	12	61
163	12	62
164	12	63
165	14	1
166	14	2
167	14	3
168	14	4
169	14	5
170	14	6
171	14	7
172	14	8
173	14	9
174	14	10
175	14	11
176	14	12
177	14	13
178	14	14
179	14	15
180	14	16
181	14	17
182	14	18
183	14	19
184	14	20
185	14	21
186	14	22
187	14	23
188	14	24
189	14	25
190	14	26
191	14	27
192	14	28
193	14	29
194	14	30
195	14	31
196	17	4294967295
197	19	0
198	21	4294967295
199	22	4294967295
200	23	1
201	23	2
202	23	3
203	24	1
204	24	2
205	24	3
206	24	4
207	24	5
208	24	6
209	24	7
210	24	8
211	24	9
212	24	10
213	24	11
214	24	12
215	24	13
216	24	14
217	24	15
218	24	16
219	24	17
220	24	18
221	24	19
222	24	20
223	24	21
224	24	22
225	24	23
226	24	24
227	24	25
228	24	26
229	24	27
230	24	28
231	24	29
232	24	30
233	24	31
234	26	1
235	26	2
236	26	3
237	26	4
238	26	5
239	26	6
240	26	7
241	26	8
242	26	9
243	26	10
244	26	11
245	26	12
246	26	13
247	26	14
248	26	15
249	26	16
250	26	17
251	26	18
252	26	19
253	26	20
254	26	21
255	26	22
256	26	23
257	26	24
258	26	25
259	26	26
260	26	27
261	26	28
262	26	29
263	26	30
264	26	31
265	26	32
266	26	33
267	26	34
268	26	35
269	26	36
270	26	37
271	26	38
272	26	39
273	26	40
274	26	41
275	26	42
276	26	43
277	26	44
278	26	45
279	26	46
280	26	47
281	26	48
282	26	49
283	26	50
284	26	51
285	26	52
286	26	53
287	26	54
288	26	55
289	26	56
290	26	57
291	26	58
292	26	59
293	26	60
294	26	61
295	26	62
296	26	63
297	27	0
298	27	1
299	27	2
300	27	3
301	27	4
302	27	5
303	27	6
304	27	7
305	27	8
306	27	9
307	27	10
308	27	11
309	27	12
310	27	13
311	27	14
312	27	15
313	27	16
314	27	17
315	27	18
316	27	19
317	27	20
318	27	21
319	27	22
320	27	23
321	27	24
322	27	25
323	27	26
324	27	27
325	27	28
326	27	29
327	27	30
328	27	31
329	27	32
330	27	33
331	27	34
332	27	35
333	27	36
334	27	37
335	27	38
336	27	39
337	27	40
338	27	41
339	27	42
340	27	43
341	27	44
342	27	45
343	27	46
344	27	47
345	27	48
346	27	49
347	27	50
348	27	51
349	27	52
350	27	53
351	27	54
352	27	55
353	27	56
354	27	57
355	27	58
356	27	59
357	27	60
358	27	61
359	27	62
360	27	63
361	0	0
362	2	4294967295
363	4	1
364	6	4294967295
365	7	4294967295
366	8	0
367	8	2
368	8	3
369	10	0
370	13	0
371	15	0
372	17	4294967295
373	19	1
374	21	4294967295
375	22	4294967295
376	23	0
377	23	2
378	23	3
379	25	0
380	28	0
381	0	0
382	1	4294967295
383	4	2
384	6	4294967295
385	7	4294967295
386	8	0
387	8	1
388	8	3
389	10	0
390	13	0
391	15	0
392	16	4294967295
393	19	2
394	21	4294967295
395	22	4294967295
396	23	0
397	23	1
398	23	3
399	25	0
400	28	0
401	0	0
402	1	4294967295
403	4	3
404	6	4294967295
405	7	4294967295
406	8	0
407	8	1
408	8	2
409	10	0
410	13	0
411	15	0
412	16	4294967295
413	19	3
414	21	4294967295
415	22	4294967295
416	23	0
417	23	1
418	23	2
419	25	0
420	28	0
421	0	0
422	1	4294967295
423	8	0
424	8	1
425	8	2
426	8	3
427	10	0
428	13	0
429	15	0
430	16	4294967295
431	23	0
432	23	1
433	23	2
434	23	3
435	25	0
436	28	0
437	0	0
438	1	4294967295
439	8	0
440	8	1
441	8	2
442	8	3
443	10	0
444	13	0
445	15	0
446	16	4294967295
447	23	0
448	23	1
449	23	2
450	23	3
451	25	0
452	28	0
453	0	0
454	3	4294967295
455	8	0
456	8	1
457	8	2
458	8	3
459	10	0
460	13	0
